family_id,family_name,priority,provenance,official_problem_ids,existing_lessons,representative_core_lesson,variants,debug_traps,status,tests
F11,"Brute force DFS choice tree & backtracking",P0,OBSERVED,"M1Q2;A-Q4;B-Q4","PT-DFS-TAKE-SKIP;PT-BT-ASSIGNMENT;PT-OF036-TARGET-NUMBER;PT-OF022-FATIGUE;PT-F11-COMBINATION",PT-OF036-TARGET-NUMBER,"plus/minus;take-skip;combination;repetition;permutation;assignment;fatigue feasibility;restore;reward objective","wrong base;reuse index;missing branch;missing restore;required-vs-cost;bad next index",PARTIAL,"lessons.test.ts;evaluate.test.ts"
F12,"Unweighted BFS & expanded state",P0,OBSERVED,"M2Q4;OF038;OF045","PT-F12-GRAPH-BFS;PT-F12-GRID-BFS;PT-F12-EXPANDED-STATE-BFS",PT-F12-GRAPH-BFS,"graph shortest/farthest;grid shortest;target distance;multi-source graph/grid;8-neighbor;one/K break;key-door state","directed build;wrong tie reset;row/col bounds;distance unit;merge expanded states;consume wrong resource",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F13,"DFS/BFS components & tree traversal",P0,OBSERVED,"A-Q2;OF023;OF037","PT-F13-NETWORK-COMPONENTS;PT-F13-ROOTED-TREE-PROFILE;PT-OF023-POWER-GRID",PT-F13-NETWORK-COMPONENTS,"matrix/list/grid components;component size;iterative DFS;tree parent/depth/subtree;level counts;tree edge cut","reset global visited;count visited root;root unmarked;forward subtree fold;one-way cut;reused visited",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F14,"Binary search on answer",P0,OBSERVED,B-Q2,PT-OF043-IMMIGRATION-BIGINT,PT-OF043-IMMIGRATION-BIGINT,"first/last feasible;integer/BigInt bounds;six Lab C predicates","infeasible high;skip first-feasible candidate;wrong midpoint;non-monotone predicate",COMPLETE,"lessons.test.ts;evaluate.test.ts"
F15,"Heap selection Top K & scheduling",P0,OBSERVED,"M1Q4;M2Q2;OF012;OF013","PT-F15-SCOVILLE-HEAP;PT-F15-BOUNDED-TOP-K;PT-F15-EVENT-HEAP-SCHEDULING",PT-F15-SCOVILLE-HEAP,"min/max heap;repeated transform;optimal merge;bounded Top K;object priority;event+heap;resource availability heap","wrong comparator;forget reinsert;wrong K boundary;ignore arrival batch;no idle jump",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F16,"Greedy with proof",P1,"CORE/TRANSFER",,PT-OF057-INTERCEPTION,PT-OF057-INTERCEPTION,"open/closed interval boundary;minimum stabbing;maximum non-overlap;exchange argument","wrong boundary;sort by start;local choice without proof",PARTIAL,"lessons.test.ts;evaluate.test.ts"
F17,"Dynamic programming & memoization",P1,"CORE official syllabus",,,PT-F17-GRID-DP,"1D/2D;memoization;optimize/count","wrong state meaning;bad iteration order;reuse item",PLANNED,
F18,"Weighted shortest path",P2,"TRANSFER official syllabus/repo",,,PT-F18-DIJKSTRA,"single/multi-source;expanded weighted state","no stale skip;negative edge;wrong heap comparator",PLANNED,
F19,"Connectivity structures / Union-Find / MST",P2,TRANSFER,,,PT-F19-DSU-KRUSKAL,"connectivity→MST;component count","bad find compression;accept cycle;ignore disconnected",PLANNED,
F20,"Interval/event representation",P1,"OBSERVED representation/TRANSFER standalone","B-Q1;M2Q3",,PT-F20-ENDPOINT-CONTRACT,"closed/half-open;difference event;tie ordering","wrong endpoint;start/end tie reversed",PLANNED,
F21,"Mathematical recursion & periodic events",P1,OBSERVED,"M1Q3;A-Q3",,PT-F21-PERIODIC-COUNT,"parent indexing;cyclic time;boundary count","1-based error;double-count coincidence;wrap error",PLANNED,
F22,"Base conversion & modular normalization",P1,OBSERVED,"M1Q3;B-Q4",,PT-F22-BASE-CANDIDATES,"encode/decode;candidate bases;positive modulo","base not above digits;negative remainder;ambiguous output",PLANNED,
F23,"State compression",P2,TRANSFER,,,PT-F23-BITMASK-STATE,"subset mask;coordinate compression","wrong bit test;collision in encoding;lost order",PLANNED,
F24,"Specialized structures/order",P3,LOW_PRIORITY,,,PT-F24-SPECIALIZED-LOOKUP,"trie;topological order;advanced tree order","false prerequisite;cycle handling;overbuilt structure",PLANNED,
