id,group,source_type,problem_name_ko,problem_name_vi,link,level_official,primary_pattern,secondary_pattern,priority,think_limit_minutes,hint_rule,redo_rule,hidden_test_risks,planned_first_attempt,status,actual_minutes,hint_level,first_result,review_1,review_3,review_7,recode_done,confidence,notes
P11,B,PCCP Mock 1,유전법칙,Quy luật di truyền,https://school.programmers.co.kr/learn/courses/15008/lessons/121685,N/A (mock không công bố Level),Indexing cơ số 4,Recursion theo tổ tiên,Nên làm,50,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 nếu có hint/WA; D+7 bắt buộc,"p 1-based; n=1 là Rr; gặp RR/rr thì nhánh cố định; không sinh toàn cây",2026-08-29,Chưa làm,,,,2026-08-30,2026-09-01,2026-09-05,,,
P12,A,PCCP Mock 1,운영체제,Hệ điều hành,https://school.programmers.co.kr/learn/courses/15008/lessons/121686,N/A (mock không công bố Level),Sort event + min-heap,Scheduler simulation,Bắt buộc,60,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"Non-preemptive; nạp mọi callTime <= now; heap rỗng nhảy time; answer dài 11",2026-08-29,Chưa làm,,,,2026-08-30,2026-09-01,2026-09-05,,,
P13,A,PCCP Mock 2,실습용 로봇,Robot thực hành,https://school.programmers.co.kr/learn/courses/15009/lessons/121687,N/A (mock không công bố Level),Simulation,Direction vectors,Bắt buộc,25,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"Quy ước x/y; modulo âm trong JS; command dài 1e6 nên O(N)",2026-08-31,Chưa làm,,,,2026-09-01,2026-09-03,2026-09-07,,,
P14,A,PCCP Mock 2,신입사원 교육,Đào tạo nhân viên mới,https://school.programmers.co.kr/learn/courses/15009/lessons/121688,N/A (mock không công bố Level),Min-heap,Greedy,Bắt buộc,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"Luôn lấy hai nhỏ nhất; push tổng hai lần; không sort lại mỗi vòng",2026-08-31,Chưa làm,,,,2026-09-01,2026-09-03,2026-09-07,,,
P15,A,PCCP Mock 2,카페 확장,Mở rộng quán cà phê,https://school.programmers.co.kr/learn/courses/15009/lessons/121689,N/A (mock không công bố Level),Event simulation,Queue/two pointers,Bắt buộc,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"arrival=i*k; finish=max(prevFinish,arrival)+duration; exit cùng lúc arrival phải xử lý đúng; quầy nhàn",2026-08-31,Chưa làm,,,,2026-09-01,2026-09-03,2026-09-07,,,
P16,A,PCCP Mock 2,보물 지도,Bản đồ kho báu,https://school.programmers.co.kr/learn/courses/15009/lessons/121690,N/A (mock không công bố Level),BFS state,Grid,Bắt buộc,60,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"visited[y][x][shoeUsed]; nhảy vượt bẫy nhưng ô đáp hợp lệ; n rộng/m cao; vô nghiệm -1",2026-08-31,Chưa làm,,,,2026-09-01,2026-09-03,2026-09-07,,,
P17,A,Programmers challenge,개인정보 수집 유효기간,Hạn lưu trữ dữ liệu cá nhân,https://school.programmers.co.kr/learn/courses/30/lessons/150370?language=javascript,Lv.1,Parse string + Map,Chuẩn hóa ngày,Bắt buộc,30,Không hint trong synthetic mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 nếu hint/WA,"Mọi tháng 28 ngày; equality là ngày phải hủy; parse term/date",2026-09-02,Chưa làm,,,,2026-09-03,2026-09-05,2026-09-09,,,
P18,A,Programmers challenge,공원 산책,Dạo công viên,https://school.programmers.co.kr/learn/courses/30/lessons/172928?language=javascript,Lv.1,Matrix simulation,Boundary,Bắt buộc,30,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Kiểm tra toàn tuyến trước commit; H/W khác nhau; obstacle và boundary",2026-08-01,Chưa làm,,,,2026-08-02,2026-08-04,2026-08-08,,,
P19,A,Programmers challenge,크레인 인형뽑기 게임,Game gắp thú bằng cần cẩu,https://school.programmers.co.kr/learn/courses/30/lessons/64061?language=javascript,Lv.1,Matrix + stack,Simulation,Bắt buộc,35,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"moves 1-based; cột rỗng; pop cặp cộng 2; duyệt đúng row",2026-08-02,Chưa làm,,,,2026-08-03,2026-08-05,2026-08-09,,,
P20,A,Programmers challenge,달리기 경주,Cuộc đua chạy,https://school.programmers.co.kr/learn/courses/30/lessons/178871?language=javascript,Lv.1,Map name-index,Swap,Bắt buộc,30,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"callings 1e6 nên không indexOf; cập nhật vị trí cả hai người sau swap",2026-08-05,Chưa làm,,,,2026-08-06,2026-08-08,2026-08-12,,,
P21,A,High Score Kit,완주하지 못한 선수,Người chưa hoàn thành,https://school.programmers.co.kr/learn/courses/30/lessons/42576?language=javascript,Lv.1,Frequency Map,Counting,Bắt buộc,25,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Có tên trùng nên Set sai; decrement/delete/return đúng key",2026-08-02,Chưa làm,,,,2026-08-03,2026-08-05,2026-08-09,,,
P22,A,High Score Kit,폰켓몬,Ponketmon,https://school.programmers.co.kr/learn/courses/30/lessons/1845?language=javascript,Lv.1,Set,Min/Bất biến,Bắt buộc,20,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Đáp án min(uniqueTypes,N/2); không enumerate combinations",2026-08-01,Chưa làm,,,,2026-08-02,2026-08-04,2026-08-08,,,
P23,A,High Score Kit,전화번호 목록,Danh bạ điện thoại,https://school.programmers.co.kr/learn/courses/30/lessons/42577?language=javascript,Lv.2,Sort + adjacent prefix,Hash,Bắt buộc,35,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Prefix không phải substring; giữ leading zero; sau sort chỉ cần cặp kề",2026-08-07,Chưa làm,,,,2026-08-08,2026-08-10,2026-08-14,,,
P24,A,High Score Kit,의상,Trang phục,https://school.programmers.co.kr/learn/courses/30/lessons/42578?language=javascript,Lv.2,Map frequency,Counting principle,Bắt buộc,35,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"product(countCategory+1)-1; nhóm theo loại chứ không theo item",2026-08-06,Chưa làm,,,,2026-08-07,2026-08-09,2026-08-13,,,
P25,A,High Score Kit,K번째수,Số thứ K,https://school.programmers.co.kr/learn/courses/30/lessons/42748?language=javascript,Lv.1,Slice + numeric sort,Index,Bắt buộc,20,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Command 1-based; slice end-exclusive; numeric comparator; mutation",2026-07-30,Chưa làm,,,,2026-07-31,2026-08-02,2026-08-06,,,
P26,A,High Score Kit,기능개발,Phát triển tính năng,https://school.programmers.co.kr/learn/courses/30/lessons/42586?language=javascript,Lv.2,Queue/order grouping,Simulation,Bắt buộc,30,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 nếu hint/WA,"ceil số ngày; bài sau xong sớm vẫn bị chặn; flush group cuối",2026-08-16,Chưa làm,,,,2026-08-17,2026-08-19,2026-08-23,,,
P27,A,High Score Kit,프로세스,Tiến trình,https://school.programmers.co.kr/learn/courses/30/lessons/42587?language=javascript,Lv.2,Queue simulation,Original index,Bắt buộc,35,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Priority trùng; theo dõi target sau rotate; nhầm lớn/nhỏ",2026-08-10,Chưa làm,,,,2026-08-11,2026-08-13,2026-08-17,,,
P28,A,High Score Kit,더 맵게,Cay hơn,https://school.programmers.co.kr/learn/courses/30/lessons/42626?language=javascript,Lv.2,Min-heap,Greedy,Bắt buộc,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 nếu hint/WA,"Heap <2 và min<K thì -1; có 0; không sort lại mỗi vòng",2026-08-16,Chưa làm,,,,2026-08-17,2026-08-19,2026-08-23,,,
P29,A,High Score Kit,구명보트,Xuồng cứu sinh,https://school.programmers.co.kr/learn/courses/30/lessons/42885?language=javascript,Lv.2,Sort + two pointers,Greedy,Bắt buộc,35,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Mỗi thuyền tối đa hai người; xử lý người nặng nhất; ghép nhẹ nhất nếu được",2026-08-08,Chưa làm,,,,2026-08-09,2026-08-11,2026-08-15,,,
P30,A,High Score Kit,타겟 넘버,Số mục tiêu,https://school.programmers.co.kr/learn/courses/30/lessons/43165?language=javascript,Lv.2,DFS/backtracking,Brute force,Bắt buộc,40,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 nếu hint/WA,"Dùng mỗi số đúng một lần; hai nhánh +/-; base case đúng index",2026-08-23,Chưa làm,,,,2026-08-24,2026-08-26,2026-08-30,,,
P31,A,High Score Kit,게임 맵 최단거리,Đường ngắn nhất trên bản đồ game,https://school.programmers.co.kr/learn/courses/30/lessons/1844?language=javascript,Lv.2,BFS grid,Queue,Bắt buộc,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 nếu hint/WA,"Matrix chữ nhật; mark khi enqueue; distance tính cả ô đầu; unreachable -1",2026-08-23,Chưa làm,,,,2026-08-24,2026-08-26,2026-08-30,,,
P32,A,Programmers challenge,할인 행사,Sự kiện giảm giá,https://school.programmers.co.kr/learn/courses/30/lessons/131127?language=javascript,Lv.2,Sliding window 10,Frequency Map,Bắt buộc,40,Không hint trong synthetic mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 nếu hint/WA,"Cửa sổ đúng 10; remove outgoing đúng lúc; start tới n-10; so mọi want",2026-09-02,Chưa làm,,,,2026-09-03,2026-09-05,2026-09-09,,,
P33,A,Programmers challenge,연속된 부분 수열의 합,Tổng dãy con liên tiếp,https://school.programmers.co.kr/learn/courses/30/lessons/178870?language=javascript,Lv.2,Two pointers,Sliding sum,Bắt buộc,45,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 nếu hint/WA,"Chỉ đúng vì số dương; end inclusive; tie ngắn nhất rồi start nhỏ nhất; n=1e6",2026-08-27,Chưa làm,,,,2026-08-28,2026-08-30,2026-09-03,,,
P34,B,High Score Kit,가장 큰 수,Số lớn nhất,https://school.programmers.co.kr/learn/courses/30/lessons/42746?language=javascript,Lv.2,Custom comparator,String sort,Nên làm,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 nếu hint/WA; D+7 bắt buộc,"So b+a với a+b; toàn 0 trả chuỗi 0; không Number hóa kết quả",2026-08-16,Chưa làm,,,,2026-08-17,2026-08-19,2026-08-23,,,
P35,B,High Score Kit,다리를 지나는 트럭,Xe tải qua cầu,https://school.programmers.co.kr/learn/courses/30/lessons/42583?language=javascript,Lv.2,Queue/event simulation,Running weight,Nên làm,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 nếu hint/WA; D+7 bắt buộc,"Timing xe rời; tổng tải; xe cuối còn bridgeLength giây; bridgeLength=1",2026-08-16,Chưa làm,,,,2026-08-17,2026-08-19,2026-08-23,,,
P36,B,High Score Kit,주식가격,Giá cổ phiếu,https://school.programmers.co.kr/learn/courses/30/lessons/42584?language=javascript,Lv.2,Monotonic stack,Index,Nên làm,45,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu hint/WA; D+7 bắt buộc,"Chỉ giá strictly thấp hơn mới rớt; equal không rớt; flush index còn lại",2026-08-10,Chưa làm,,,,2026-08-11,2026-08-13,2026-08-17,,,
P37,B,High Score Kit,큰 수 만들기,Tạo số lớn,https://school.programmers.co.kr/learn/courses/30/lessons/42883?language=javascript,Lv.2,Monotonic stack,Greedy,Nên làm,45,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu hint/WA; D+7 bắt buộc,"Pop khi top < digit; k còn thì xóa cuối; tránh thao tác chuỗi O(N^2)",2026-08-11,Chưa làm,,,,2026-08-12,2026-08-14,2026-08-18,,,
P38,B,Programmers challenge,요격 시스템,Hệ thống đánh chặn,https://school.programmers.co.kr/learn/courses/30/lessons/181188?language=javascript,Lv.2,Interval sort,Greedy,Nên làm,40,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu hint/WA; D+7 bắt buộc,"Khoảng mở (s,e); next.start >= currentEnd thì cần phát mới; equality không giao",2026-08-24,Chưa làm,,,,2026-08-25,2026-08-27,2026-08-31,,,
P39,B,High Score Kit,피로도,Độ mệt mỏi,https://school.programmers.co.kr/learn/courses/30/lessons/87946?language=javascript,Lv.2,Permutation/backtracking,Visited,Nên làm,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 nếu hint/WA; D+7 bắt buộc,"Requirement khác consumption; dungeon trùng value vẫn khác index; restore visited",2026-08-23,Chưa làm,,,,2026-08-24,2026-08-26,2026-08-30,,,
P40,B,High Score Kit,네트워크,Mạng lưới,https://school.programmers.co.kr/learn/courses/30/lessons/43162?language=javascript,Lv.3,Connected components,DFS/BFS,Nên làm,45,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 nếu hint/WA; D+7 bắt buộc,"Adjacency matrix; visited theo node; diagonal 1; đếm component",2026-08-23,Chưa làm,,,,2026-08-24,2026-08-26,2026-08-30,,,
P41,B,Programmers challenge,미로 탈출,Thoát mê cung,https://school.programmers.co.kr/learn/courses/30/lessons/159993?language=javascript,Lv.2,BFS hai chặng,Reset state,Nên làm,50,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu hint/WA; D+7 bắt buộc,"Bắt buộc S->L rồi L->E; reset visited; một chặng fail => -1; grid chữ nhật",2026-08-18,Chưa làm,,,,2026-08-19,2026-08-21,2026-08-25,,,
P42,B,Programmers challenge,숫자 변환하기,Biến đổi số,https://school.programmers.co.kr/learn/courses/30/lessons/154538?language=javascript,Lv.2,DP hoặc BFS,Shortest operations,Nên làm,45,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu hint/WA; D+7 bắt buộc,"x==y trả 0; không vượt y; tránh revisit; unreachable -1",2026-08-25,Chưa làm,,,,2026-08-26,2026-08-28,2026-09-01,,,
P43,B,High Score Kit,정수 삼각형,Tam giác số nguyên,https://school.programmers.co.kr/learn/courses/30/lessons/43105?language=javascript,Lv.3,DP 2D/Rolling,Optimization,Nên làm,50,Không hint trong synthetic mock; sau giờ ghi bottleneck mới xem hint,D+1 nếu hint/WA; D+7 bắt buộc,"Hai mép chỉ có một parent; tránh undefined thành NaN; mutation",2026-09-02,Chưa làm,,,,2026-09-03,2026-09-05,2026-09-09,,,
P44,B,High Score Kit,등굣길,Đường đến trường,https://school.programmers.co.kr/learn/courses/30/lessons/42898?language=javascript,Lv.3,Grid DP,Modulo,Nên làm,50,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu hint/WA; D+7 bắt buộc,"Puddle [x,y] nhưng matrix [y][x]; obstacle 0; modulo mỗi bước; init start",2026-08-26,Chưa làm,,,,2026-08-27,2026-08-29,2026-09-02,,,
P45,C,High Score Kit,디스크 컨트롤러,Bộ điều khiển đĩa,https://school.programmers.co.kr/learn/courses/30/lessons/42627?language=javascript,Lv.3,Sort arrivals + min-heap,Event simulation,Còn thời gian,60,Không hint trong synthetic mock; sau giờ ghi state/invariant rồi xem hint,Đóng lời giải và code lại ngay; D+3; D+7 nếu còn phạm vi,"Heap rỗng nhảy time; nạp mọi request <= time; tie comparator; floor average",2026-09-02,Chưa làm,,,,2026-09-03,2026-09-05,2026-09-09,,,
P46,C,High Score Kit,단어 변환,Chuyển đổi từ,https://school.programmers.co.kr/learn/courses/30/lessons/43163?language=javascript,Lv.3,BFS implicit graph,String diff,Còn thời gian,60,Sau 60 phút ghi state/invariant rồi xem hint; không cố quá 75 phút,Đóng lời giải và code lại ngay; D+3; D+7 nếu còn phạm vi,"Target không có trả 0; khác đúng một ký tự; mark visited; minimum steps",2026-08-19,Chưa làm,,,,2026-08-20,2026-08-22,2026-08-26,,,
P47,C,High Score Kit,입국심사,Kiểm tra nhập cảnh,https://school.programmers.co.kr/learn/courses/30/lessons/43238?language=javascript,Lv.3,Binary search answer,Counting predicate,Còn thời gian,60,Sau 60 phút ghi state/invariant rồi xem hint; không cố quá 75 phút,Đóng lời giải và code lại ngay; D+3; D+7 nếu còn phạm vi,"Upper=max(times)*n; lower bound; cutoff >= n; precision và không dùng bitwise",2026-08-14,Chưa làm,,,,2026-08-15,2026-08-17,2026-08-21,,,
P48,C,High Score Kit,가장 먼 노드,Node xa nhất,https://school.programmers.co.kr/learn/courses/30/lessons/49189?language=javascript,Lv.3,Adjacency list + BFS,Graph,Còn thời gian,55,Sau 55 phút ghi state/invariant rồi xem hint; không cố quá 70 phút,Đóng lời giải và code lại ngay; D+3; D+7 nếu còn phạm vi,"Graph vô hướng; mark enqueue; distance từ node 1; count đúng max distance",2026-08-21,Chưa làm,,,,2026-08-22,2026-08-24,2026-08-28,,,
