bank_id,lesson_id,problem_name,level,pattern,priority,role,source_set,legacy_id,link
OF017,42747,H-Index,Lv.2,Sort-boundary,TRANSFER,transfer-check,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42747?language=javascript
OF018,86491,Hình chữ nhật nhỏ nhất,Lv.1,Exhaustive-scan,TRANSFER,warmup,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/86491?language=javascript
OF019,42840,Thi thử,Lv.1,Pattern-cycle-simulation,TRANSFER,warmup,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42840?language=javascript
OF020,42839,Tìm số nguyên tố,Lv.2,Permutation-backtracking,TRANSFER,variant,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42839?language=javascript
OF021,42842,Thảm,Lv.2,Bounded-bruteforce,TRANSFER,representative,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42842?language=javascript
OF022,87946,Độ mệt mỏi,Lv.2,Backtracking,CORE,representative,Programmers Kit,P39,https://school.programmers.co.kr/learn/courses/30/lessons/87946?language=javascript
OF023,86971,Chia lưới điện,Lv.2,Tree-edge-cut-traversal,CORE,representative,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/86971?language=javascript
OF024,84512,Từ điển nguyên âm,Lv.2,Enumeration-DFS,TRANSFER,variant,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/84512?language=javascript
OF025,42862,Đồng phục thể dục,Lv.1,Greedy-local-choice,TRANSFER,warmup,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42862?language=javascript
OF026,42860,Cần điều khiển,Lv.2,Greedy-case-analysis,STRETCH,special-case,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42860?language=javascript
OF027,42883,Tạo số lớn,Lv.2,Greedy-monotonic-stack,CORE,representative,Programmers Kit,P37,https://school.programmers.co.kr/learn/courses/30/lessons/42883?language=javascript
OF028,42885,Xuồng cứu sinh,Lv.2,Greedy-two-pointers,CORE,representative,Programmers Kit,P29,https://school.programmers.co.kr/learn/courses/30/lessons/42885?language=javascript
OF029,42861,Nối đảo,Lv.3,MST-DSU,TRANSFER,graph-extension,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42861?language=javascript
OF030,42884,Camera kiểm soát,Lv.3,Interval-greedy,TRANSFER,variant,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42884?language=javascript
OF031,42895,Biểu diễn bằng N,Lv.3,DP-set-state,TRANSFER,variant,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42895?language=javascript
OF032,43105,Tam giác số nguyên,Lv.3,DP-table,CORE,representative,Programmers Kit,P43,https://school.programmers.co.kr/learn/courses/30/lessons/43105?language=javascript
OF033,42898,Đường đến trường,Lv.3,Grid-DP,CORE,representative,Programmers Kit,P44,https://school.programmers.co.kr/learn/courses/30/lessons/42898?language=javascript
OF034,1843,Số học,Lv.4,Interval-DP,STRETCH,advanced,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/1843?language=javascript
OF035,42897,Trộm cắp,Lv.4,Circular-DP,STRETCH,advanced,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42897?language=javascript
OF036,43165,Số mục tiêu,Lv.2,DFS-choice-tree,CORE,template,Programmers Kit,P30,https://school.programmers.co.kr/learn/courses/30/lessons/43165?language=javascript
OF037,43162,Mạng lưới,Lv.3,Connected-components,CORE,representative,Programmers Kit,P40,https://school.programmers.co.kr/learn/courses/30/lessons/43162?language=javascript
OF038,1844,Đường ngắn nhất bản đồ game,Lv.2,BFS-grid-shortest,CORE,template,Programmers Kit,P31,https://school.programmers.co.kr/learn/courses/30/lessons/1844?language=javascript
OF039,43163,Chuyển đổi từ,Lv.3,BFS-implicit-graph,CORE,transfer-check,Programmers Kit,P46,https://school.programmers.co.kr/learn/courses/30/lessons/43163?language=javascript
OF040,87694,Nhặt vật phẩm,Lv.3,BFS-coordinate-modeling,STRETCH,special-modeling,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/87694?language=javascript
OF041,43164,Hành trình du lịch,Lv.3,DFS-path-order,TRANSFER,graph-extension,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/43164?language=javascript
OF042,84021,Ghép mảnh puzzle,Lv.3,Component-shape-canonicalization,STRETCH,special-modeling,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/84021?language=javascript
OF043,43238,Kiểm tra nhập cảnh,Lv.3,Binary-search-answer,CORE,template,Programmers Kit,P47,https://school.programmers.co.kr/learn/courses/30/lessons/43238?language=javascript
OF044,43236,Đá bước,Lv.4,Binary-search-answer,STRETCH,advanced,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/43236?language=javascript
OF045,49189,Node xa nhất,Lv.3,Graph-BFS-distance,CORE,representative,Programmers Kit,P48,https://school.programmers.co.kr/learn/courses/30/lessons/49189?language=javascript
OF046,49191,Thứ hạng,Lv.3,Graph-reachability,TRANSFER,variant,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/49191?language=javascript
OF047,49190,Đếm phòng,Lv.5,Graph-cycle-modeling,STRETCH,advanced,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/49190?language=javascript
OF048,150370,Hạn lưu trữ dữ liệu cá nhân,Lv.1,Parsing-date-hash,CORE,implementation,Programmers public,P17,https://school.programmers.co.kr/learn/courses/30/lessons/150370?language=javascript
OF049,172928,Dạo công viên,Lv.1,Grid-simulation,CORE,implementation,Programmers public,P18,https://school.programmers.co.kr/learn/courses/30/lessons/172928?language=javascript
OF050,178871,Cuộc đua chạy,Lv.1,Array-hash-index,CORE,implementation,Programmers public,P20,https://school.programmers.co.kr/learn/courses/30/lessons/178871?language=javascript
OF051,64061,Game gắp thú,Lv.1,Matrix-reduction-stack,CORE,integration,Programmers public,P19,https://school.programmers.co.kr/learn/courses/30/lessons/64061?language=javascript
OF052,131127,Sự kiện giảm giá,Lv.2,Fixed-sliding-window-hash,CORE,representative,Programmers public,P32,https://school.programmers.co.kr/learn/courses/30/lessons/131127?language=javascript
OF053,178870,Tổng dãy con liên tiếp,Lv.2,Two-pointers-positive,CORE,representative,Programmers public,P33,https://school.programmers.co.kr/learn/courses/30/lessons/178870?language=javascript
OF054,118667,Làm hai queue có tổng bằng nhau,Lv.2,Queue-pointers-invariant,TRANSFER,transfer-check,Programmers public,,https://school.programmers.co.kr/learn/courses/30/lessons/118667?language=javascript
OF055,159993,Thoát mê cung,Lv.2,Multi-phase-BFS,CORE,transfer-check,Programmers public,P41,https://school.programmers.co.kr/learn/courses/30/lessons/159993?language=javascript
OF056,154538,Biến đổi số,Lv.2,BFS-or-DP-state,TRANSFER,transfer-check,Programmers public,P42,https://school.programmers.co.kr/learn/courses/30/lessons/154538?language=javascript
OF057,181188,Hệ thống đánh chặn,Lv.2,Interval-greedy,CORE,representative,Programmers public,P38,https://school.programmers.co.kr/learn/courses/30/lessons/181188?language=javascript
OF058,67258,Mua đá quý,Lv.3,Variable-sliding-window-hash,TRANSFER,variant,Programmers public,,https://school.programmers.co.kr/learn/courses/30/lessons/67258?language=javascript
OF059,12978,Giao hàng,Lv.2,Dijkstra-shortest-path,TRANSFER,graph-extension,Programmers public,,https://school.programmers.co.kr/learn/courses/30/lessons/12978?language=javascript
OF060,92344,Tòa nhà không bị phá,Lv.3,Two-dimensional-difference-array,TRANSFER,prefix-extension,Programmers public,,https://school.programmers.co.kr/learn/courses/30/lessons/92344?language=javascript
OF061,154539,Số lớn hơn phía sau,Lv.2,Monotonic-stack,TRANSFER,variant,Programmers public,,https://school.programmers.co.kr/learn/courses/30/lessons/154539?language=javascript
OF062,250137,Băng bó,Lv.1,Event-simulation,RESERVED_MOCK,past-paper,PCCP public set A,P01,https://school.programmers.co.kr/learn/courses/30/lessons/250137?language=javascript
OF063,250136,Khai thác dầu,Lv.2,Component-contribution,RESERVED_MOCK,past-paper,PCCP public set A,P02,https://school.programmers.co.kr/learn/courses/30/lessons/250136?language=javascript
OF064,250135,Đồng hồ analog,Lv.2,Math-time-simulation,RESERVED_MOCK,past-paper,PCCP public set A,P03,https://school.programmers.co.kr/learn/courses/30/lessons/250135?language=javascript
OF065,250134,Di chuyển xe kéo,Lv.3,Multi-agent-backtracking,RESERVED_MOCK,past-paper,PCCP public set A,P04,https://school.programmers.co.kr/learn/courses/30/lessons/250134?language=javascript
OF066,340213,Trình phát video,Lv.1,Parsing-interval-simulation,RESERVED_MOCK,past-paper,PCCP public set B,P05,https://school.programmers.co.kr/learn/courses/30/lessons/340213?language=javascript
OF067,340212,Thử thách game xếp hình,Lv.2,Binary-search-answer,RESERVED_MOCK,past-paper,PCCP public set B,P06,https://school.programmers.co.kr/learn/courses/30/lessons/340212?language=javascript
OF068,340211,Tìm nguy cơ va chạm,Lv.2,Time-batch-simulation-hash,RESERVED_MOCK,past-paper,PCCP public set B,P07,https://school.programmers.co.kr/learn/courses/30/lessons/340211?language=javascript
OF069,340210,Khôi phục biểu thức,Lv.3,Parsing-base-bruteforce,RESERVED_MOCK,past-paper,PCCP public set B,P08,https://school.programmers.co.kr/learn/courses/30/lessons/340210?language=javascript
